"unit","wstatus","nace_r2","geo","time","values"
"PC","SAL","A","BG412",2013,NA
"PC","SAL","A","BG413",2013,NA
"PC","SAL","A","BG414",2013,NA
"PC","SAL","A","BG415",2013,NA
"PC","SAL","A","BG42",2013,NA
"PC","SAL","A","BG421",2013,NA
"PC","SAL","A","BG422",2013,NA
"PC","SAL","A","BG423",2013,NA
"PC","SAL","A","BG424",2013,NA
"PC","SAL","A","BG425",2013,NA
"PC","SAL","B-E","BG",2013,NA
"PC","SAL","B-E","BG3",2013,NA
"PC","SAL","B-E","BG31",2013,NA
"PC","SAL","B-E","BG311",2013,NA
"PC","SAL","B-E","BG312",2013,NA
"PC","SAL","B-E","BG313",2013,NA
"PC","SAL","B-E","BG314",2013,NA
"PC","SAL","B-E","BG315",2013,NA
"PC","SAL","B-E","BG32",2013,NA
"PC","SAL","B-E","BG321",2013,NA
"PC","SAL","B-E","BG322",2013,NA
"PC","SAL","B-E","BG323",2013,NA
"PC","SAL","B-E","BG324",2013,NA
"PC","SAL","B-E","BG325",2013,NA
"PC","SAL","B-E","BG33",2013,NA
"PC","SAL","B-E","BG331",2013,NA
"PC","SAL","B-E","BG332",2013,NA
"PC","SAL","B-E","BG333",2013,NA
"PC","SAL","B-E","BG334",2013,NA
"PC","SAL","B-E","BG34",2013,NA
"PC","SAL","B-E","BG341",2013,NA
"PC","SAL","B-E","BG342",2013,NA
"PC","SAL","B-E","BG343",2013,NA
"PC","SAL","B-E","BG344",2013,NA
"PC","SAL","B-E","BG4",2013,NA
"PC","SAL","B-E","BG41",2013,NA
"PC","SAL","B-E","BG411",2013,NA
"PC","SAL","B-E","BG412",2013,NA
"PC","SAL","B-E","BG413",2013,NA
"PC","SAL","B-E","BG414",2013,NA
"PC","SAL","B-E","BG415",2013,NA
"PC","SAL","B-E","BG42",2013,NA
"PC","SAL","B-E","BG421",2013,NA
"PC","SAL","B-E","BG422",2013,NA
"PC","SAL","B-E","BG423",2013,NA
"PC","SAL","B-E","BG424",2013,NA
"PC","SAL","B-E","BG425",2013,NA
"PC","SAL","C","BG",2013,NA
"PC","SAL","C","BG3",2013,NA
"PC","SAL","C","BG31",2013,NA
"PC","SAL","C","BG311",2013,NA
"PC","SAL","C","BG312",2013,NA
"PC","SAL","C","BG313",2013,NA
"PC","SAL","C","BG314",2013,NA
"PC","SAL","C","BG315",2013,NA
"PC","SAL","C","BG32",2013,NA
"PC","SAL","C","BG321",2013,NA
"PC","SAL","C","BG322",2013,NA
"PC","SAL","C","BG323",2013,NA
"PC","SAL","C","BG324",2013,NA
"PC","SAL","C","BG325",2013,NA
"PC","SAL","C","BG33",2013,NA
"PC","SAL","C","BG331",2013,NA
"PC","SAL","C","BG332",2013,NA
"PC","SAL","C","BG333",2013,NA
"PC","SAL","C","BG334",2013,NA
"PC","SAL","C","BG34",2013,NA
"PC","SAL","C","BG341",2013,NA
