"currency","unit","sizeclas","nace_r2","lcstruct","geo","time","values"
"EUR","P_SAL_H","250-499","C17","D111","BG",2012,2.53
"EUR","P_SAL_H","250-499","C17","D1111","BG",2012,2.19
"EUR","P_SAL_H","250-499","C18","D01","BG",2012,4.58
"EUR","P_SAL_H","250-499","C18","D111","BG",2012,3.92
"EUR","P_SAL_H","250-499","C18","D1111","BG",2012,3.55
"EUR","P_SAL_H","250-499","C19","D01","BG",2012,NA
"EUR","P_SAL_H","250-499","C19","D111","BG",2012,NA
"EUR","P_SAL_H","250-499","C19","D1111","BG",2012,NA
"EUR","P_SAL_H","250-499","C20","D01","BG",2012,5.83
"EUR","P_SAL_H","250-499","C20","D111","BG",2012,4.85
"EUR","P_SAL_H","250-499","C20","D1111","BG",2012,4.23
"EUR","P_SAL_H","250-499","C21","D01","BG",2012,4.15
"EUR","P_SAL_H","250-499","C21","D111","BG",2012,3.49
"EUR","P_SAL_H","250-499","C21","D1111","BG",2012,3.02
"EUR","P_SAL_H","250-499","C22","D01","BG",2012,2.43
"EUR","P_SAL_H","250-499","C22","D111","BG",2012,2.06
"EUR","P_SAL_H","250-499","C22","D1111","BG",2012,1.9
"EUR","P_SAL_H","250-499","C23","D01","BG",2012,NA
"EUR","P_SAL_H","250-499","C23","D111","BG",2012,NA
"EUR","P_SAL_H","250-499","C23","D1111","BG",2012,NA
"EUR","P_SAL_H","250-499","C24","D01","BG",2012,4.12
"EUR","P_SAL_H","250-499","C24","D111","BG",2012,3.27
"EUR","P_SAL_H","250-499","C24","D1111","BG",2012,2.77
"EUR","P_SAL_H","250-499","C25","D01","BG",2012,3.02
"EUR","P_SAL_H","250-499","C25","D111","BG",2012,2.51
"EUR","P_SAL_H","250-499","C25","D1111","BG",2012,2.16
