"unit","sex","age","nace_r2","geo","time","values"
"THS","F","Y40-64","D","BG","2013Q1",NA
"THS","F","Y40-64","E","BG","2013Q1",NA
"THS","F","Y40-64","F","BG","2013Q1",NA
"THS","F","Y40-64","G","BG","2013Q1",NA
"THS","F","Y40-64","H","BG","2013Q1",NA
"THS","F","Y40-64","I","BG","2013Q1",NA
"THS","F","Y40-64","J","BG","2013Q1",NA
"THS","F","Y40-64","K","BG","2013Q1",NA
"THS","F","Y40-64","M","BG","2013Q1",NA
"THS","F","Y40-64","N","BG","2013Q1",9.5
"THS","F","Y40-64","O","BG","2013Q1",NA
"THS","F","Y40-64","P","BG","2013Q1",NA
"THS","F","Y40-64","Q","BG","2013Q1",NA
"THS","F","Y40-64","R","BG","2013Q1",NA
"THS","F","Y40-64","S","BG","2013Q1",NA
"THS","F","Y40-64","T","BG","2013Q1",NA
"THS","F","Y40-64","TOTAL","BG","2013Q1",23.4
"THS","F","Y50-59","A","BG","2013Q1",NA
"THS","F","Y50-59","B","BG","2013Q1",NA
"THS","F","Y50-59","C","BG","2013Q1",NA
"THS","F","Y50-59","E","BG","2013Q1",NA
"THS","F","Y50-59","F","BG","2013Q1",NA
"THS","F","Y50-59","G","BG","2013Q1",NA
"THS","F","Y50-59","H","BG","2013Q1",NA
"THS","F","Y50-59","I","BG","2013Q1",NA
"THS","F","Y50-59","J","BG","2013Q1",NA
"THS","F","Y50-59","K","BG","2013Q1",NA
"THS","F","Y50-59","M","BG","2013Q1",NA
"THS","F","Y50-59","N","BG","2013Q1",NA
"THS","F","Y50-59","O","BG","2013Q1",NA
"THS","F","Y50-59","P","BG","2013Q1",NA
"THS","F","Y50-59","Q","BG","2013Q1",NA
"THS","F","Y50-59","R","BG","2013Q1",NA
"THS","F","Y50-59","S","BG","2013Q1",NA
"THS","F","Y50-59","T","BG","2013Q1",NA
"THS","F","Y50-59","TOTAL","BG","2013Q1",12.1
"THS","F","Y50-64","A","BG","2013Q1",NA
"THS","F","Y50-64","B","BG","2013Q1",NA
"THS","F","Y50-64","C","BG","2013Q1",NA
"THS","F","Y50-64","E","BG","2013Q1",NA
"THS","F","Y50-64","F","BG","2013Q1",NA
"THS","F","Y50-64","G","BG","2013Q1",NA
"THS","F","Y50-64","H","BG","2013Q1",NA
"THS","F","Y50-64","I","BG","2013Q1",NA
"THS","F","Y50-64","J","BG","2013Q1",NA
"THS","F","Y50-64","K","BG","2013Q1",NA
"THS","F","Y50-64","M","BG","2013Q1",NA
"THS","F","Y50-64","N","BG","2013Q1",NA
"THS","F","Y50-64","O","BG","2013Q1",NA
"THS","F","Y50-64","P","BG","2013Q1",NA
"THS","F","Y50-64","Q","BG","2013Q1",NA
"THS","F","Y50-64","R","BG","2013Q1",NA
"THS","F","Y50-64","S","BG","2013Q1",NA
"THS","F","Y50-64","T","BG","2013Q1",NA
"THS","F","Y50-64","TOTAL","BG","2013Q1",14.8
"THS","F","Y50-74","A","BG","2013Q1",NA
"THS","F","Y50-74","B","BG","2013Q1",NA
"THS","F","Y50-74","C","BG","2013Q1",NA
"THS","F","Y50-74","E","BG","2013Q1",NA
"THS","F","Y50-74","F","BG","2013Q1",NA
"THS","F","Y50-74","G","BG","2013Q1",NA
"THS","F","Y50-74","H","BG","2013Q1",NA
"THS","F","Y50-74","I","BG","2013Q1",NA
"THS","F","Y50-74","J","BG","2013Q1",NA
"THS","F","Y50-74","K","BG","2013Q1",NA
"THS","F","Y50-74","L","BG","2013Q1",NA
"THS","F","Y50-74","M","BG","2013Q1",NA
"THS","F","Y50-74","N","BG","2013Q1",5.6
"THS","F","Y50-74","O","BG","2013Q1",NA
"THS","F","Y50-74","P","BG","2013Q1",NA
"THS","F","Y50-74","Q","BG","2013Q1",NA
"THS","F","Y50-74","R","BG","2013Q1",NA
"THS","F","Y50-74","S","BG","2013Q1",NA
"THS","F","Y50-74","T","BG","2013Q1",NA
"THS","F","Y50-74","TOTAL","BG","2013Q1",16
"THS","F","Y55-64","A","BG","2013Q1",NA
"THS","F","Y55-64","C","BG","2013Q1",NA
"THS","F","Y55-64","E","BG","2013Q1",NA
"THS","F","Y55-64","F","BG","2013Q1",NA
"THS","F","Y55-64","G","BG","2013Q1",NA
"THS","F","Y55-64","H","BG","2013Q1",NA
"THS","F","Y55-64","I","BG","2013Q1",NA
"THS","F","Y55-64","J","BG","2013Q1",NA
"THS","F","Y55-64","K","BG","2013Q1",NA
"THS","F","Y55-64","M","BG","2013Q1",NA
"THS","F","Y55-64","N","BG","2013Q1",NA
"THS","F","Y55-64","O","BG","2013Q1",NA
"THS","F","Y55-64","P","BG","2013Q1",NA
"THS","F","Y55-64","Q","BG","2013Q1",NA
"THS","F","Y55-64","R","BG","2013Q1",NA
"THS","F","Y55-64","S","BG","2013Q1",NA
"THS","F","Y55-64","T","BG","2013Q1",NA
"THS","F","Y55-64","TOTAL","BG","2013Q1",8.5
"THS","F","Y55-74","A","BG","2013Q1",NA
"THS","F","Y55-74","C","BG","2013Q1",NA
"THS","F","Y55-74","E","BG","2013Q1",NA
"THS","F","Y55-74","F","BG","2013Q1",NA
"THS","F","Y55-74","G","BG","2013Q1",NA
"THS","F","Y55-74","H","BG","2013Q1",NA
"THS","F","Y55-74","I","BG","2013Q1",NA
"THS","F","Y55-74","J","BG","2013Q1",NA
"THS","F","Y55-74","K","BG","2013Q1",NA
"THS","F","Y55-74","L","BG","2013Q1",NA
"THS","F","Y55-74","M","BG","2013Q1",NA
"THS","F","Y55-74","N","BG","2013Q1",NA
"THS","F","Y55-74","O","BG","2013Q1",NA
"THS","F","Y55-74","P","BG","2013Q1",NA
"THS","F","Y55-74","Q","BG","2013Q1",NA
"THS","F","Y55-74","R","BG","2013Q1",NA
"THS","F","Y55-74","S","BG","2013Q1",NA
"THS","F","Y55-74","T","BG","2013Q1",NA
"THS","F","Y55-74","TOTAL","BG","2013Q1",9.7
"THS","F","Y_GE15","A","BG","2013Q1",NA
"THS","F","Y_GE15","B","BG","2013Q1",NA
"THS","F","Y_GE15","C","BG","2013Q1",NA
"THS","F","Y_GE15","D","BG","2013Q1",NA
"THS","F","Y_GE15","E","BG","2013Q1",NA
"THS","F","Y_GE15","F","BG","2013Q1",NA
"THS","F","Y_GE15","G","BG","2013Q1",NA
"THS","F","Y_GE15","H","BG","2013Q1",NA
"THS","F","Y_GE15","I","BG","2013Q1",NA
"THS","F","Y_GE15","J","BG","2013Q1",NA
"THS","F","Y_GE15","K","BG","2013Q1",NA
"THS","F","Y_GE15","L","BG","2013Q1",NA
"THS","F","Y_GE15","M","BG","2013Q1",NA
"THS","F","Y_GE15","N","BG","2013Q1",15.6
"THS","F","Y_GE15","O","BG","2013Q1",NA
"THS","F","Y_GE15","P","BG","2013Q1",NA
"THS","F","Y_GE15","Q","BG","2013Q1",NA
"THS","F","Y_GE15","R","BG","2013Q1",NA
"THS","F","Y_GE15","S","BG","2013Q1",NA
"THS","F","Y_GE15","T","BG","2013Q1",NA
"THS","F","Y_GE15","TOTAL","BG","2013Q1",49.8
"THS","F","Y_GE15","U","BG","2013Q1",NA
"THS","F","Y_GE25","A","BG","2013Q1",NA
"THS","F","Y_GE25","B","BG","2013Q1",NA
"THS","F","Y_GE25","C","BG","2013Q1",NA
"THS","F","Y_GE25","D","BG","2013Q1",NA
"THS","F","Y_GE25","E","BG","2013Q1",NA
"THS","F","Y_GE25","F","BG","2013Q1",NA
"THS","F","Y_GE25","G","BG","2013Q1",NA
"THS","F","Y_GE25","H","BG","2013Q1",NA
"THS","F","Y_GE25","I","BG","2013Q1",NA
"THS","F","Y_GE25","J","BG","2013Q1",NA
"THS","F","Y_GE25","K","BG","2013Q1",NA
"THS","F","Y_GE25","L","BG","2013Q1",NA
"THS","F","Y_GE25","M","BG","2013Q1",NA
"THS","F","Y_GE25","N","BG","2013Q1",14.9
"THS","F","Y_GE25","O","BG","2013Q1",NA
"THS","F","Y_GE25","P","BG","2013Q1",NA
"THS","F","Y_GE25","Q","BG","2013Q1",NA
"THS","F","Y_GE25","R","BG","2013Q1",NA
"THS","F","Y_GE25","S","BG","2013Q1",NA
"THS","F","Y_GE25","T","BG","2013Q1",NA
"THS","F","Y_GE25","TOTAL","BG","2013Q1",42.9
"THS","F","Y_GE25","U","BG","2013Q1",NA
"THS","F","Y_GE50","A","BG","2013Q1",NA
"THS","F","Y_GE50","B","BG","2013Q1",NA
"THS","F","Y_GE50","C","BG","2013Q1",NA
"THS","F","Y_GE50","E","BG","2013Q1",NA
"THS","F","Y_GE50","F","BG","2013Q1",NA
"THS","F","Y_GE50","G","BG","2013Q1",NA
"THS","F","Y_GE50","H","BG","2013Q1",NA
"THS","F","Y_GE50","I","BG","2013Q1",NA
"THS","F","Y_GE50","J","BG","2013Q1",NA
"THS","F","Y_GE50","K","BG","2013Q1",NA
"THS","F","Y_GE50","L","BG","2013Q1",NA
"THS","F","Y_GE50","M","BG","2013Q1",NA
"THS","F","Y_GE50","N","BG","2013Q1",5.6
"THS","F","Y_GE50","O","BG","2013Q1",NA
"THS","F","Y_GE50","P","BG","2013Q1",NA
"THS","F","Y_GE50","Q","BG","2013Q1",NA
